time,portfolio_value
2846,27.692866895892067
2847,27.820848716108102
2848,27.718518235756477
2849,27.6980763307611
2850,27.46434280922345
2851,27.262391075404818
2852,27.037964908881648
2853,26.752658345121684
2854,26.764571807639058
2855,26.772491836019782
2856,26.661505227309807
2857,26.719092346886413
2858,26.81450193943755
2859,26.741858267386604
2860,26.536373942708902
2861,26.46436230028136
2862,26.297894925925096
2863,26.25665924371366
2864,26.283350256104125
2865,26.29854109372641
2866,26.27976824008302
2867,25.751262013538557
2868,24.914316618948078
2869,25.2340650359077
2870,25.202249079353507
2871,25.226228600246376
2872,25.339063751035436
2873,25.203239861097664
2874,25.234163740192987
2875,25.23535686378558
2876,25.144421174184306
2877,25.013338933660467
2878,24.98900085569162
2879,25.089062655416868
2880,25.166715049629662
2881,25.061742523071672
2882,25.051651091929962
2883,24.96527555213849
2884,25.09649362119716
2885,24.959560167871775
2886,24.95296206620471
2887,25.169539741800204
2888,25.158755371792026
2889,25.334406909283558
2890,25.301659638415128
2891,25.15463527707725
2892,24.76568127187833
2893,25.12176614082149
2894,24.908215171802368
2895,25.017886096464427
2896,24.907754395866284
2897,24.925023472821533
2898,24.839974337375004
2899,24.811411389107377
2900,24.961788351179376
2901,24.85586862090623
2902,24.634960031512595
2903,24.781005530210873
2904,24.62357700866923
2905,24.987689910442224
2906,24.740151090101115
2907,24.58344996812101
2908,24.503234084386676
2909,24.51972073862482
2910,24.102751134124507
2911,24.1712561907319
2912,24.133213131950626
2913,24.125989807118252
2914,24.07435053921875
2915,24.281570526836436
2916,24.04615326834819
2917,24.225281799759827
2918,23.882428470240335
2919,23.915746373423868
2920,23.672438097342393
2921,23.51410609229172
2922,23.191807787013587
2923,23.31632429079883
2924,23.1894630316835
2925,23.159793024928206
2926,23.250046074254307
2927,23.100530892917273
2928,23.007912508490637
2929,23.10758354179288
2930,23.061391482292837
2931,23.13069795149698
2932,23.03838948877118
2933,22.893811241334756
2934,22.91687580211476
2935,22.988822166875163
2936,22.864519642798875
2937,22.636367215290225
2938,22.62688313453968
2939,22.799064077877592
2940,23.01904327161547
2941,23.23158789127494
2942,23.27868847163027
2943,23.100171786523827
2944,22.973678229914917
2945,22.69049279487659
